Bilinme zamanları
17.02.2010 Saat: 23.34
18.02.2010 Saat: 2.15
07.03.2010 Saat: 16.00
24.03.2010 Saat: 21.19
26.03.2010 Saat: 13.11
26.03.2010 Saat: 13.12
15.05.2010 Saat: 17.49
21.05.2010 Saat: 23.46
09.07.2010 Saat: 13.56
27.07.2010 Saat: 11.31
27.07.2010 Saat: 11.31
23.11.2010 Saat: 0.03
16.06.2011 Saat: 21.08
15.05.2012 Saat: 3.26
20.09.2012 Saat: 23.11
11.02.2013 Saat: 14.59
21.10.2013 Saat: 16.42
22.10.2013 Saat: 11.04
22.10.2013 Saat: 11.04
22.10.2013 Saat: 11.11
25.10.2013 Saat: 1.54
25.10.2013 Saat: 1.56
10.02.2014 Saat: 16.00
26.02.2015 Saat: 0.14
28.02.2015 Saat: 9.51
13.05.2015 Saat: 10.23
13.06.2015 Saat: 12.31
21.06.2015 Saat: 15.47
29.06.2015 Saat: 12.18
29.06.2015 Saat: 13.23
29.06.2015 Saat: 13.24
29.06.2015 Saat: 17.25
10.09.2015 Saat: 8.28
10.09.2015 Saat: 12.57
12.11.2015 Saat: 12.10
22.11.2015 Saat: 8.48
25.11.2015 Saat: 21.24
25.11.2015 Saat: 21.29
25.11.2015 Saat: 21.34
28.04.2016 Saat: 0.30
18.05.2016 Saat: 21.46
04.08.2016 Saat: 18.51
08.11.2016 Saat: 22.39
14.03.2017 Saat: 21.52
10.06.2017 Saat: 22.58
22.06.2017 Saat: 2.10
07.11.2017 Saat: 1.02
07.12.2018 Saat: 22.40
13.02.2020 Saat: 16.38
22.11.2020 Saat: 0.01
22.11.2020 Saat: 0.05
22.11.2020 Saat: 0.06
05.01.2021 Saat: 13.12
05.01.2021 Saat: 13.18
23.02.2021 Saat: 14.46
